"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Amphiodia periercta","H.L. Clark, 1911",957349,"Animalia","Echinodermata","Asterozoa","Ophiuroidea","Amphilepidida","Gnathophiurina ",NA,"Amphiuroidea","Amphiuridae","Amphiodia",NA,"periercta","","species","RBCM","Invertebrate Zoology","975-00224-007","","f372af47-2954-4e43-a92c-a7d6d882e1f2","Philip Lambert",NA,"","1975-06-17",1975,6,17,"PreservedSpecimen","Galiano Island; Montague Harbour: north west side of Grey Peninsula",NA,"Galiano Island","British Columbia","Canada","CA",100,"Andrew Simon","corrected","interpretation of locality, and/or inference based on local knowledge and species ecology","record mostly appears accurate; shunted slightly into nearby waters at Montague beach; coordinate uncertainty inferred from coordinate resolution",NA,12.19,NA,"present","","",1,"","native","unlisted","",NA,"","Accessioned in RBCM collections as Diamphiodia periercta, an unrecognized name (WoRMS Editorial Board 2021).","Amphiodia periercta","","",130
"Crossaster papposus","(Linnaeus, 1767)",192687,"Animalia","Echinodermata","Asterozoa","Asteroidea","Valvatida","",NA,"","Solasteridae","Crossaster",NA,"papposus","","species","RBCM","Invertebrate Zoology","976-01146-013","","c2aeaac9-813c-454c-81f5-3d78ea770d67","",NA,"",NA,NA,NA,NA,"PreservedSpecimen","",NA,"Galiano Island","British Columbia","Canada","CA",100,"","","","coordinate uncertainty inferred from coordinate resolution",NA,54.86,NA,"present","","",1,"","native","unlisted","",NA,"","","Crossaster papposus","","",415
"Crossaster papposus","(Linnaeus, 1767)",192687,"Animalia","Echinodermata","Asterozoa","Asteroidea","Valvatida","",NA,"","Solasteridae","Crossaster",NA,"papposus","","species","RBCM","Invertebrate Zoology","976-01146-011","","aba4b245-bd6e-48cd-978a-bddfb1f9e64e","",NA,"",NA,NA,NA,NA,"PreservedSpecimen","",NA,"Galiano Island","British Columbia","Canada","CA",100,"","","","coordinate uncertainty inferred from coordinate resolution",NA,54.86,NA,"present","","",4,"","native","unlisted","",NA,"","","Crossaster papposus","","",415
"Crossaster papposus","(Linnaeus, 1767)",192687,"Animalia","Echinodermata","Asterozoa","Asteroidea","Valvatida","",NA,"","Solasteridae","Crossaster",NA,"papposus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:40","Andy Lamb",NA,"","1969-02-21",1969,2,21,"HumanObservation","Retreat Cove",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,70,NA,"present","","",NA,"","native","unlisted","",NA,"","","Crossaster papposus","","",238
"Crossaster papposus","(Linnaeus, 1767)",192687,"Animalia","Echinodermata","Asterozoa","Asteroidea","Valvatida","",NA,"","Solasteridae","Crossaster",NA,"papposus","","species","RBCM","Invertebrate Zoology","973-00137-010","","95951a9c-d67e-46a1-8166-0d4d2dd40843","Philip Lambert",NA,"","1973-06-14",1973,6,14,"PreservedSpecimen","Galiano Island; Montague Harbour; Charles Island: west side of Charles Island; near Montague Harbour",NA,"Galiano Island","British Columbia","Canada","CA",10000,"","","","coordinate uncertainty inferred from coordinate resolution",NA,15.24,NA,"present","","",1,"","native","unlisted","",NA,"","","Crossaster papposus","","",128
"Crossaster papposus","(Linnaeus, 1767)",192687,"Animalia","Echinodermata","Asterozoa","Asteroidea","Valvatida","",NA,"","Solasteridae","Crossaster",NA,"papposus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:169","Andy Lamb",NA,"","1973-09-20",1973,9,20,"HumanObservation","Alcala Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,80,NA,"present","","",NA,"","native","unlisted","",NA,"","","Crossaster papposus","","",392
"Crossaster papposus","(Linnaeus, 1767)",192687,"Animalia","Echinodermata","Asterozoa","Asteroidea","Valvatida","",NA,"","Solasteridae","Crossaster",NA,"papposus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:208","Andy Lamb",NA,"","1973-09-21",1973,9,21,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,90,NA,"present","","",NA,"","native","unlisted","",NA,"","","Crossaster papposus","","",347
"Crossaster papposus","(Linnaeus, 1767)",192687,"Animalia","Echinodermata","Asterozoa","Asteroidea","Valvatida","",NA,"","Solasteridae","Crossaster",NA,"papposus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:436","Andy Lamb",NA,"","1985-08-02",1985,8,2,"HumanObservation","Skipjack Island, outer face",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,65,NA,"present","","",1,"","native","unlisted","",NA,"","","Crossaster papposus","","",112
"Crossaster papposus","(Linnaeus, 1767)",192687,"Animalia","Echinodermata","Asterozoa","Asteroidea","Valvatida","",NA,"","Solasteridae","Crossaster",NA,"papposus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:811","Charlie Gibbs",NA,"","1994-02-26",1994,2,26,"HumanObservation","Alcala Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,79,NA,"present","","",NA,"","native","unlisted","",NA,"","","Crossaster papposus","","",392
"Crossaster papposus","(Linnaeus, 1767)",192687,"Animalia","Echinodermata","Asterozoa","Asteroidea","Valvatida","",NA,"","Solasteridae","Crossaster",NA,"papposus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:896","Charlie Gibbs",NA,"","1994-02-26",1994,2,26,"HumanObservation","Race Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,60,NA,"present","","",NA,"","native","unlisted","",NA,"","","Crossaster papposus","","",416
