"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","observation","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Acipenser transmontanus","Richardson, 1836","","white sturgeon","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Acipenseriformes","","","Acipenseridae","","","Acipenser","transmontanus",NA,"",NA,"native","S2 (2018)","1-E","new 2023","observed","","","","",NA,"2023-06-24","Dave ""Zeuss"" Cochrane","iNat:169325429","",93194,"FIS"
"Agonopsis vulsa","(Jordan & Gilbert, 1880)","","northern spearnose poacher","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Agonidae","Agoninae","","Agonopsis","vulsa",NA,"",NA,"native","SNR",NA,"confirmed","observed","1995-02-25","Charlie Gibbs","PMLS","",NA,"2008-05-22","Jackson W.F. Chu","iNat:116447577","",180027,"FIS"
"Ammodytes personatus","Girard, 1856","","Pacific sand lance","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Ammodytidae","","","Ammodytes","personatus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1993-08-16","Andy Lamb","PMLS","",NA,"2011-05-20","Karolle Wall","iNat:4028615","",201784,"FIS"
"Anarrhichthys ocellatus","Ayres, 1855","","wolf-eel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Anarhichadidae","","","Anarrhichthys","ocellatus",NA,"",NA,"native","SNR",NA,"reported","unobserved","1994-02-26","Charlie Gibbs","PMLS","",NA,"","","","",60635,"FIS"
"Anoplarchus purpurescens","Gill, 1861","","high cockscomb","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Stichaeidae","Xiphisterinae","","Anoplarchus","purpurescens",NA,"",NA,"native","SNR",NA,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",NA,"2015-08-28","Andrew Simon","iNat:2580652","",67316,"FIS"
"Apodichthys flavidus","Girard, 1854","","penpoint gunnel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Pholidae","","","Apodichthys","flavidus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1982-06-09","K.D. Genereux","CMN","CMNFI 1985-0087.5",NA,"2013-06-22","Karolle Wall","iNat:4015148","",67408,"FIS"
"Artedius fenestralis","Jordan & Gilbert, 1883","","padded sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Artedius","fenestralis",NA,"",NA,"native","SNR",NA,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",NA,"2013-10-13","Peter Luckham","iNat:2976334","",117527,"FIS"
"Artedius harringtoni","(Starks, 1896)","","scalyhead sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Artedius","harringtoni",NA,"",NA,"native","SNR",NA,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",NA,"2015-01-01","Peter Luckham","iNat:2797281","",117528,"FIS"
"Artedius lateralis","(Girard, 1854)","","smoothhead sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Artedius","lateralis",NA,"",NA,"native","SNR",NA,"confirmed","observed","1985-12-08","Charlie Gibbs","PMLS","",NA,"2020-08-13","Andrew Simon","iNat:56373896","",117529,"FIS"
"Asemichthys taylori","Gilbert, 1912","","spinynose sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Asemichthys","taylori",NA,"",NA,"native","SNR",NA,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",NA,"2013-10-13","Peter Luckham","iNat:2975888","",172639,"FIS"
